name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,image_front,image_rear,notes
Ron Gardenhire,New York Mets,1984,1984,SS,donruss,360,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ron_1984_don_360_f.png,ron_1984_don_360_r.png,NA
Max Scherzer,New York Mets,2022,2021,P,topps,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,max_2022_top_63_f.png,max_2022_top_63_r.png,GQ Baseball Cards
Jacob deGrom,New York Mets,2021,2020,P,topps,12,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,jaco_2021_top_12_f.png,jaco_2021_top_12_r.png,NA
Andres Gimenez,New York Mets,2021,2020,"2B, SS",bowman,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,andr_2021_bow_8_f.png,andr_2021_bow_8_r.png,NA
Max Scherzer,New York Mets,2023,2022,P,topps,T88-2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,max_2023_top_t882_f.png,max_2023_top_t882_r.png,NA
Jacob deGrom,New York Mets,2023,2022,P,topps,48,0,0,0,0,1,1,0,0,0,0,0,silver,1,0,0,0,0,0,0,0,1,jaco_2023_top_48_f.png,jaco_2023_top_48_r.png,NA
Justin Verlander,New York Mets,2023,2022,P,topps,AA-45,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,just_2023_top_aa45_f.png,just_2023_top_aa45_r.png,All Aces
Mike Piazza,New York Mets,2022,2021,C,topps,T87C2-38,0,0,0,0,1,1,0,0,1,0,0,gold,0,0,0,0,0,0,0,1987,1,mike_2022_top_t87c238_f.png,mike_2022_top_t87c238_r.png,NA
Mickey Mantle,New York Yankees,2012,2011,OF,topps,TM-96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mick_2012_top_tm96_f.png,mick_2012_top_tm96_r.png,Topps Mini
Mickey Mantle,New York Yankees,2011,1968,OF,topps,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mick_2011_top_7_f.png,mick_2011_top_7_r.png,NA
Masahiro Tanaka,New York Yankees,2014,2013,P,topps,MB-43,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,masa_2014_top_mb43_f.png,masa_2014_top_mb43_r.png,"Rookie Debut: April 4, 2014"
Masahiro Tanaka,New York Yankees,2014,2013,P,topps,661,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,masa_2014_top_661_f.png,masa_2014_top_661_r.png,One is Short Print
Mariano Rivera,New York Yankees,2014,2013,P,topps,321,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mari_2014_top_321_f.png,mari_2014_top_321_r.png,Series One Checklist (Yankees Legend Retires)
Kelly Johnson,New York Yankees,2014,2013,2B,topps,504,0,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,kell_2014_top_504_f.png,kell_2014_top_504_r.png,NA
Babe Ruth,New York Yankees,2021,2020,OF,topps,120,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,babe_2021_top_120_f.png,babe_2021_top_120_r.png,NA
Gary Sanchez,New York Yankees,2021,2020,C,topps,CCR-GS,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,gary_2021_top_ccrgs_f.png,gary_2021_top_ccrgs_r.png,"Clubhouse Collection, Game-Used Jersey Piece"
Babe Ruth,New York Yankees,2011,1935,OF,topps,259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,babe_2011_top_259_f.png,babe_2011_top_259_r.png,NA
Giancarlo Stanton,New York Yankees,2021,2020,"OF, DH",topps,193,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,gian_2021_top_193_f.png,gian_2021_top_193_r.png,NA
Giancarlo Stanton,New York Yankees,2022,2021,"OF, DH",topps,T87C2-34,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1987,1,gian_2022_top_t87c234_f.png,gian_2022_top_t87c234_r.png,NA
Aaron Judge,New York Yankees,2022,2021,OF,topps,87AS-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,aaro_2022_top_87as4_f.png,aaro_2022_top_87as4_r.png,All Star
Yogi Berra,New York Yankees,2022,2021,C,topps,DGC-40,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,yogi_2022_top_dgc40_f.png,yogi_2022_top_dgc40_r.png,Diamond Greats
Don Mattingly,New York Yankees,2021,2020,1B,topps,696,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,don_2021_top_696_f.png,don_2021_top_696_r.png,NA
Coco Crisp,Oakland Athletics,2014,2013,OF,topps,92,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,coco_2014_top_92_f.png,coco_2014_top_92_r.png,NA
Mark McGwire,Oakland Athletics,2020,2019,1B,topps,U-95,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,mark_2020_top_u95_f.png,mark_2020_top_u95_r.png,1992 Home Run Derby
Chris Bassit,Oakland Athletics,2021,2020,P,topps,214,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,chri_2021_top_214_f.png,chri_2021_top_214_r.png,NA
Jesus Luzardo,Oakland Athletics,2020,2019,P,topps,5,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,jesu_2020_top_5_f.png,jesu_2020_top_5_r.png,NA
Matt Olson,Oakland Athletics,2022,2021,1B,topps,T87C-51,0,0,0,0,1,1,0,0,1,0,0,gold,1,0,0,0,0,0,0,1987,1,matt_2022_top_t87c51_f.png,matt_2022_top_t87c51_r.png,NA
Kevin Smith,Oakland Athletics,2022,2022,P,topps,USC21,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,kevi_2022_top_usc21_f.png,kevi_2022_top_usc21_r.png,NA
Yoenis Cespedes,Oakland Athletics,2014,2013,OF,topps,88,0,0,1,0,1,1,0,0,0,0,0,blue,1,0,0,0,0,0,0209/2014,0,1,yoen_2014_top_88_f.png,yoen_2014_top_88_r.png,NA
Aaron Nola,Philadelphia Phillies,2022,2021,P,topps,T87C2-23,0,0,0,0,1,1,0,0,1,0,0,gold,1,0,0,0,0,0,0,1987,1,aaro_2022_top_t87c223_f.png,aaro_2022_top_t87c223_r.png,NA
Nick Castellanos,Philadelphia Phillies,2022,2021,OF,topps,USC67,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nick_2022_top_usc67_f.png,nick_2022_top_usc67_r.png,NA
Aaron Nola,Philadelphia Phillies,2023,2022,P,topps,AA-16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,aaro_2023_top_aa16_f.png,aaro_2023_top_aa16_r.png,All Aces
Noah Syndergaard,Philadelphia Phillies,2023,2022,P,topps,145,0,0,0,0,1,1,0,0,0,0,0,navy,0,0,0,0,0,0,0,0,1,noah_2023_top_145_f.png,noah_2023_top_145_r.png,NA
Ke'Bryan Hayes,Pittsburgh Pirates,2021,2020,3B,topps,644,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ke'b_2021_top_644_f.png,ke'b_2021_top_644_r.png,NA
Roberto Clemente,Pittsburgh Pirates,2021,2020,OF,topps,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,robe_2021_top_11_f.png,robe_2021_top_11_r.png,NA
JT Brubaker,Pittsburgh Pirates,2021,2020,P,topps,646,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,jtb_2021_top_646_f.png,jtb_2021_top_646_r.png,NA
Tommy Pham,San Diego Padres,2020,2019,OF,topps,74,0,0,1,0,1,1,0,0,0,0,0,blue,1,0,0,0,0,0,0,0,1,tomm_2020_top_74_f.png,tomm_2020_top_74_r.png,"March 26, 2020 (Shiny card)"
Fernando Tatis Jr.,San Diego Padres,2022,2021,SS,topps,T87-9,0,0,0,0,1,1,0,0,0,0,0,blue,0,0,0,0,0,0,0,1987,1,fern_2022_top_t879_f.png,fern_2022_top_t879_r.png,NA
Manny Machado,San Diego Padres,2022,2021,3B,topps,T87-55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,mann_2022_top_t8755_f.png,mann_2022_top_t8755_r.png,NA
Tony Gwynn,San Diego Padres,2021,2020,OF,topps,605,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,tony_2021_top_605_f.png,tony_2021_top_605_r.png,NA
Fernando Tatis Jr.,San Diego Padres,2021,2020,SS,topps,141,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,fern_2021_top_141_f.png,fern_2021_top_141_r.png,NA
Jose Azocar,San Diego Padres,2022,2021,OF,topps,USC46,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,jose_2022_top_usc46_f.png,jose_2022_top_usc46_r.png,NA
Yu Darvish,San Diego Padres,2022,2021,P,topps,T87C2-77,0,0,0,0,1,1,0,0,1,0,0,gold,1,0,0,0,0,0,0,1987,1,yud_2022_top_t87c277_f.png,yud_2022_top_t87c277_r.png,NA
Brandon Belt,San Francisco Giants,2011,2010,1B,topps,605,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bran_2011_top_605_f.png,bran_2011_top_605_r.png,NA
Will Clark,San Francisco Giants,2022,2021,1B,topps,T87C-91,0,0,0,0,1,1,0,0,1,0,0,gold,1,0,0,0,0,0,0,1987,1,will_2022_top_t87c91_f.png,will_2022_top_t87c91_r.png,NA
Alex Cobb,San Francisco Giants,2022,2021,P,topps,359,0,0,0,0,1,1,0,0,0,0,0,orange,1,0,0,0,0,0,190/299,0,1,alex_2022_top_359_f.png,alex_2022_top_359_r.png,NA
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,56,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,taij_2014_top_56_f.png,taij_2014_top_56_r.png,NA
Ichiro,Seattle Mariners,2022,2021,OF,topps,66,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,ichi_2022_top_66_f.png,ichi_2022_top_66_r.png,NA
Ken Griffey Jr.,Seattle Mariners,2022,2021,OF,topps,DGC-71,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ken_2022_top_dgc71_f.png,ken_2022_top_dgc71_r.png,Diamond Greats
Julio Rodriguez,Seattle Mariners,2022,2022,OF,topps,USC165,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,juli_2022_top_usc165_f.png,juli_2022_top_usc165_r.png,Rookie Debut: 4/8/2022
Julio Rodriguez,Seattle Mariners,2023,2022,OF,topps,TLP-JR,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,juli_2023_top_tlpjr_f.png,juli_2023_top_tlpjr_r.png,Commemorative Team Logo Patch Relic
Edgar Martinez,Seattle Mariners,2022,2021,"3B, DH",topps,127,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,edga_2022_top_127_f.png,edga_2022_top_127_r.png,mini card
Kolten Wong,St. Louis Cardinals,2014,2013,2B,topps,141,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,kolt_2014_top_141_f.png,kolt_2014_top_141_r.png,NA
Albert Pujols,St. Louis Cardinals,2011,2010,1B,topps,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,albe_2011_top_100_f.png,albe_2011_top_100_r.png,Factory Set Limited Edition
Albert Pujols,St. Louis Cardinals,2022,2021,"1B, DH",topps,USC50,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,albe_2022_top_usc50_f.png,albe_2022_top_usc50_r.png,NA
Nolan Arenado,St. Louis Cardinals,2023,2022,3B,topps,T88-26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,nola_2023_top_t8826_f.png,nola_2023_top_t8826_r.png,NA
David DeJesus,Tampa Bay Rays,2014,2013,OF,topps,126,0,0,0,0,1,1,0,0,0,0,0,red,1,0,0,0,0,0,0,0,1,davi_2014_top_126_f.png,davi_2014_top_126_r.png,sparkly
Randy Arozarena,Tampa Bay Rays,2022,2021,OF,topps,T87C-2,0,0,0,0,1,1,0,0,1,0,0,gold,0,0,0,0,0,0,0,1987,1,rand_2022_top_t87c2_f.png,rand_2022_top_t87c2_r.png,NA
Wander Franco,Tampa Bay Rays,2022,2021,3B,topps,215,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,wand_2022_top_215_f.png,wand_2022_top_215_r.png,NA
Wander Franco,Tampa Bay Rays,2022,2021,SS,topps,87BR-WF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,wand_2022_top_87brwf_f.png,wand_2022_top_87brwf_r.png,Relic Card (Game Worn Memorabilia)
Vidal Brujan,Tampa Bay Rays,2022,2022,"2B, OF",topps,USC91,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,vida_2022_top_usc91_f.png,vida_2022_top_usc91_r.png,Rookie Debut: 7/7/2021
Wander Franco,Tampa Bay Rays,2023,2022,SS,topps,215,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,wand_2023_top_215_f.png,wand_2023_top_215_r.png,NA
Desmond Jennings,Tampa Bay Rays,2014,2013,OF,topps,582,1,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,1105/2014,0,1,desm_2014_top_582_f.png,desm_2014_top_582_r.png,NA
Josh Hamilton,Texas Rangers,2012,2011,OF,topps,ODS-19,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,josh_2012_top_ods19_f.png,josh_2012_top_ods19_r.png,Opening Day Stars (3D-ish card)
Bobby Witt,Texas Rangers,1998,1997,P,fleer,262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bobb_1998_fle_262_f.png,bobb_1998_fle_262_r.png,NA
Martin Perez,Texas Rangers,2022,2022,P,topps,USC103,0,0,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,mart_2022_top_usc103_f.png,mart_2022_top_usc103_r.png,NA
Brock Holt,Texas Rangers,2022,2021,3B,topps,113,0,0,0,0,1,1,0,0,0,0,0,orange,1,0,0,0,0,0,238/299,0,1,broc_2022_top_113_f.png,broc_2022_top_113_r.png,NA
Glenn Otto,Texas Rangers,2022,2021,P,topps,437,1,1,0,0,1,1,0,0,0,0,0,red star,0,0,0,0,0,0,26/76,0,1,glen_2022_top_437_f.png,glen_2022_top_437_r.png,NA
Teoscar Hernandez,Toronto Blue Jays,2018,2017,OF,topps,184,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,teos_2018_top_184_f.png,teos_2018_top_184_r.png,Cardboard Card (with printed signature)
Lourdes Gurriel Jr.,Toronto Blue Jays,2021,2020,OF,topps,416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lour_2021_top_416_f.png,lour_2021_top_416_r.png,NA
Randal Grichuk,Toronto Blue Jays,2020,2019,OF,topps,114,0,0,1,0,1,0,0,0,0,0,0,blue,0,0,0,0,0,0,0,0,1,rand_2020_top_114_f.png,rand_2020_top_114_r.png,3/26/20
Ian Desmond,Washington Nationals,2010,2009,SS,topps,196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ian_2010_top_196_f.png,ian_2010_top_196_r.png,NA
Max Scherzer,Washington Nationals,2021,2020,P,bowman,77,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,max_2021_bow_77_f.png,max_2021_bow_77_r.png,NA
